class,rank,dim,coef,sign
0,1,178,0.250654781400468,top
0,2,260,0.24006804412491295,top
0,3,593,0.2246570537332528,top
0,4,344,0.21766367601758074,top
0,5,711,0.21604830967883362,top
0,6,738,0.20987240835319598,top
0,7,185,0.20062675950433742,top
0,8,327,0.1969921335574522,top
0,9,318,0.18912887392481362,top
0,10,359,0.18298042496789746,top
0,11,557,0.1715245406557743,top
0,12,41,0.171067575772716,top
0,13,50,0.16798085835427298,top
0,14,284,0.16494062069718204,top
0,15,735,0.15721628662208167,top
0,16,249,0.15510298925888943,top
0,17,727,0.15157646434339142,top
0,18,653,0.15123273228262255,top
0,19,692,0.15070446644613517,top
0,20,643,0.14775128855032935,top
0,1,48,-0.3056932111565113,bottom
0,2,194,-0.2614190314211153,bottom
0,3,288,-0.23826506265563885,bottom
0,4,733,-0.23570534472896762,bottom
0,5,714,-0.22683266240066402,bottom
0,6,686,-0.22013170275284916,bottom
0,7,22,-0.1966459301347495,bottom
0,8,62,-0.18058578842212775,bottom
0,9,182,-0.18024944918827107,bottom
0,10,187,-0.17613446967132843,bottom
0,11,413,-0.1714243492881873,bottom
0,12,250,-0.1706081065550087,bottom
0,13,641,-0.16440039757325042,bottom
0,14,708,-0.1577099748655288,bottom
0,15,315,-0.1565649691861309,bottom
0,16,766,-0.15229353265375425,bottom
0,17,536,-0.14715043614742668,bottom
0,18,481,-0.14424399801870058,bottom
0,19,602,-0.14237673797257647,bottom
0,20,446,-0.14061040656097534,bottom
1,1,503,0.18254946907740724,top
1,2,689,0.17048038872257848,top
1,3,462,0.16868761709561028,top
1,4,379,0.1632195135685492,top
1,5,430,0.1501955244172583,top
1,6,535,0.14763399964569973,top
1,7,364,0.14678424638035822,top
1,8,470,0.14235303658991888,top
1,9,413,0.14133808020029762,top
1,10,233,0.1396098793581965,top
1,11,627,0.1354108521611112,top
1,12,313,0.1313019558200985,top
1,13,65,0.12815344543719012,top
1,14,75,0.1236212719923352,top
1,15,672,0.1184089552653805,top
1,16,69,0.11754024898828296,top
1,17,499,0.11382342446691623,top
1,18,20,0.10719842752127565,top
1,19,468,0.10658484883139337,top
1,20,358,0.10633305857058303,top
1,1,331,-0.17242294180232515,bottom
1,2,735,-0.16181267132721283,bottom
1,3,318,-0.1533837921237309,bottom
1,4,268,-0.15326837545198688,bottom
1,5,697,-0.14925934384296743,bottom
1,6,669,-0.1491990054365917,bottom
1,7,113,-0.14440597271464103,bottom
1,8,681,-0.1386911469833546,bottom
1,9,325,-0.13694271806636896,bottom
1,10,297,-0.13604159101875068,bottom
1,11,483,-0.13534055214497023,bottom
1,12,711,-0.13375374859835829,bottom
1,13,767,-0.12211010046464998,bottom
1,14,671,-0.12203311157773548,bottom
1,15,230,-0.12198373212029175,bottom
1,16,554,-0.1202989567761133,bottom
1,17,165,-0.11981522039698436,bottom
1,18,43,-0.11856212376818462,bottom
1,19,608,-0.11746862733369703,bottom
1,20,135,-0.1140832772536259,bottom
2,1,733,0.3077204128583431,top
2,2,608,0.2513586153265915,top
2,3,48,0.2372839324709336,top
2,4,194,0.22652270933984842,top
2,5,187,0.21477512356822537,top
2,6,356,0.21263956951615848,top
2,7,714,0.19819348982870882,top
2,8,11,0.1925338625775472,top
2,9,32,0.18688209867116795,top
2,10,71,0.18378166790953182,top
2,11,697,0.18236164219856318,top
2,12,158,0.18103492906250002,top
2,13,708,0.17754134753350076,top
2,14,288,0.17302063711066126,top
2,15,645,0.17200327083021447,top
2,16,761,0.1715663816332834,top
2,17,113,0.17017803702813047,top
2,18,444,0.16931429464850853,top
2,19,539,0.16738865694705923,top
2,20,533,0.1621618490106921,top
2,1,260,-0.30524305898373,bottom
2,2,593,-0.2956907918448274,bottom
2,3,178,-0.24496095862832537,bottom
2,4,627,-0.21683940841257307,bottom
2,5,41,-0.2032595362546795,bottom
2,6,611,-0.203065900552727,bottom
2,7,503,-0.20068475717601716,bottom
2,8,379,-0.19442464435492376,bottom
2,9,643,-0.18429512272554963,bottom
2,10,184,-0.1823177821869697,bottom
2,11,249,-0.18113215298075944,bottom
2,12,327,-0.17710357649812944,bottom
2,13,216,-0.17549639207638965,bottom
2,14,359,-0.17191118475772102,bottom
2,15,378,-0.17117647573101538,bottom
2,16,185,-0.17097571226839414,bottom
2,17,442,-0.1644837107391332,bottom
2,18,484,-0.1642283731177754,bottom
2,19,644,-0.15679842566999014,bottom
2,20,101,-0.15311557060462777,bottom
