class,rank,dim,coef,sign
0,1,700,0.3436418652922501,top
0,2,58,0.3352710604863204,top
0,3,536,0.2722967048470097,top
0,4,698,0.2667932203740114,top
0,5,47,0.2543753510490139,top
0,6,277,0.24569612470448174,top
0,7,564,0.2442014160383534,top
0,8,411,0.2438241552749582,top
0,9,132,0.24015112058139768,top
0,10,767,0.23538684002962318,top
0,11,76,0.22916456942118313,top
0,12,487,0.22167798874999506,top
0,13,431,0.21696350026881597,top
0,14,462,0.21635432120701842,top
0,15,663,0.21504759717820696,top
0,16,88,0.2136654833827849,top
0,17,417,0.21129175720146112,top
0,18,161,0.20571857164698418,top
0,19,412,0.19974623938644478,top
0,20,613,0.19937405763836563,top
0,1,625,-0.2733421985131174,bottom
0,2,233,-0.26205165134843045,bottom
0,3,591,-0.2563868167228288,bottom
0,4,118,-0.2521591925546784,bottom
0,5,348,-0.24082814143599346,bottom
0,6,146,-0.239438286834682,bottom
0,7,728,-0.22932693462936618,bottom
0,8,695,-0.22380346110642513,bottom
0,9,54,-0.22368857443203186,bottom
0,10,634,-0.22160524087550376,bottom
0,11,734,-0.22007277879866663,bottom
0,12,140,-0.2156855552087462,bottom
0,13,604,-0.21392573438238596,bottom
0,14,606,-0.21380638068037744,bottom
0,15,240,-0.20877983250519436,bottom
0,16,488,-0.2058059324198207,bottom
0,17,300,-0.20371037801162775,bottom
0,18,236,-0.20093823738152708,bottom
0,19,584,-0.1975291437893208,bottom
0,20,675,-0.1958570256197573,bottom
1,1,325,0.4199957622513095,top
1,2,736,0.3476921895652463,top
1,3,473,0.3267744119131803,top
1,4,231,0.29126055884823004,top
1,5,624,0.28941737205067436,top
1,6,213,0.2818255878727045,top
1,7,118,0.27621739901472986,top
1,8,18,0.2618551501658728,top
1,9,206,0.25651023866799205,top
1,10,378,0.2548439462300424,top
1,11,463,0.25286824847724404,top
1,12,12,0.24856330399540585,top
1,13,297,0.24707783548589368,top
1,14,96,0.24503864062534472,top
1,15,41,0.24367311785568346,top
1,16,742,0.24308125611138282,top
1,17,616,0.2392688610530227,top
1,18,143,0.2325625673787216,top
1,19,453,0.23238009855564692,top
1,20,153,0.23197046547309025,top
1,1,47,-0.399028552789509,bottom
1,2,379,-0.373133016262771,bottom
1,3,507,-0.3645639513944723,bottom
1,4,288,-0.3465440408709952,bottom
1,5,317,-0.3439428393369063,bottom
1,6,144,-0.33476004370200685,bottom
1,7,431,-0.33452113656525184,bottom
1,8,225,-0.30630711766703134,bottom
1,9,161,-0.3061176691037841,bottom
1,10,700,-0.28506802546873367,bottom
1,11,3,-0.28423476213134635,bottom
1,12,191,-0.27923750592244867,bottom
1,13,539,-0.2762590453391849,bottom
1,14,469,-0.2502008837716475,bottom
1,15,524,-0.24712262703106774,bottom
1,16,58,-0.2354349321604597,bottom
1,17,719,-0.23197915517179263,bottom
1,18,374,-0.23133677722383936,bottom
1,19,105,-0.2285097660758485,bottom
1,20,608,-0.22637165674577786,bottom
2,1,288,0.4352706142032693,top
2,2,608,0.38387092833058156,top
2,3,144,0.37532047348079867,top
2,4,604,0.3227978269325677,top
2,5,507,0.29506302799116935,top
2,6,233,0.2811105353730407,top
2,7,448,0.27612684572722507,top
2,8,11,0.269504669408217,top
2,9,191,0.26200842720864576,top
2,10,225,0.2601931816989194,top
2,11,568,0.25875171890421833,top
2,12,38,0.2578202088295303,top
2,13,120,0.2546522368645726,top
2,14,439,0.23628717874274513,top
2,15,683,0.23155192800214935,top
2,16,382,0.22825079980118093,top
2,17,317,0.22796094577427686,top
2,18,702,0.21511788877786955,top
2,19,438,0.21309101578415926,top
2,20,379,0.21232130677421115,top
2,1,564,-0.39911873582884605,bottom
2,2,325,-0.3475093974771333,bottom
2,3,624,-0.3314123823216723,bottom
2,4,386,-0.29997106540351015,bottom
2,5,514,-0.2840153871429824,bottom
2,6,487,-0.28013059676102964,bottom
2,7,116,-0.2679922100669961,bottom
2,8,96,-0.26070278902053645,bottom
2,9,554,-0.25718922500892255,bottom
2,10,736,-0.2530369419475213,bottom
2,11,12,-0.2519243748590436,bottom
2,12,595,-0.24776555223049296,bottom
2,13,290,-0.24611278098347744,bottom
2,14,88,-0.245215863751138,bottom
2,15,637,-0.24320989221712375,bottom
2,16,14,-0.24265942638704419,bottom
2,17,248,-0.23626289664964595,bottom
2,18,297,-0.23622743204649319,bottom
2,19,437,-0.23520811336606706,bottom
2,20,216,-0.23187381420742953,bottom
